Id,Predicted
0,28.043449120634836
1,30.505135958880548
2,22.18060894056947
3,32.181187914795814
4,32.54982189920012
5,22.148719992590305
6,31.521625009568783
7,20.451931489006274
8,33.521129244294904
9,18.703555648734945
10,29.15528246259464
11,24.87280272706452
12,27.443102069895335
13,20.472929909363543
14,30.7541048410192
15,28.3641248448544
16,25.570134911361844
17,29.90236859601373
18,30.49836279092645
19,28.133971384774643
20,31.008415249067593
21,27.30731276682337
22,37.24364074676127
23,28.609379303205284
24,30.566694050462754
25,38.64644324992515
26,26.859212970072083
27,18.01123791123464
28,28.892228778264798
29,32.131870094246864
30,25.076321393014613
31,36.248335072124334
32,26.3744899058691
33,16.71329322053735
34,32.76262381914631
35,22.16697018538596
36,23.08766321877808
37,28.91308481678175
38,25.821709864170526
39,23.58878595064658
40,27.36160420038772
41,25.691343319270914
42,32.89142883684181
43,28.33087387782022
44,36.04385101386435
45,30.496856120871925
46,32.65614176741951
47,30.915581696036778
48,22.301539303606916
49,26.58455249880714
50,28.16026821451024
51,21.031677104525485
52,34.3426499253352
53,22.219646432209146
54,20.872521903461763
55,27.972029562277026
56,33.05799649186938
57,27.893415011330532
58,25.660795372841935
59,28.50496607044521
60,18.222054032769414
61,26.005251542926143
62,29.853013789072858
63,16.804658076996954
64,29.135113973196436
65,23.872881838819293
66,19.10898486122107
67,20.364897725833384
68,29.90927777714808
69,21.878092601952385
70,20.421458802301043
71,19.391802417544774
72,27.25380494637029
73,21.750492855074352
74,27.909603963584413
75,33.331856877492704
76,31.53675435359302
77,28.331989147212795
78,19.635368398740507
79,25.892453296360923
80,17.85173577610467
81,25.2427026873229
82,26.91915032285058
83,28.425921169184576
84,20.942667864546987
85,30.58868040543386
86,24.741173909925536
87,21.317240959748286
88,20.903539459096816
89,24.814112456181977
90,27.442205862543275
91,18.287204830404757
92,17.664473277794993
93,29.196498143381756
94,29.41926381057705
95,17.453435957151118
96,18.921456077957004
97,30.315847765595436
98,31.529825359562434
99,30.694264458301756
100,28.740046483147
101,32.69959483046688
102,19.813001170391143
103,34.302000137206115
104,32.9844428094929
105,26.850151361445914
106,19.433327466177168
107,20.444639441638206
108,39.2360339976069
109,17.080667232893326
110,25.043481092912312
111,19.38588781606499
112,21.143073171254432
113,21.449514041423512
114,34.74694237076225
115,36.77531605253903
116,18.534018403925494
117,28.958796817068187
118,27.39308451527565
119,19.820535256665366
120,25.441958775887002
121,31.523619209703224
122,16.76456253953552
123,34.7768706784309
124,28.766613662291334
125,21.346421907174626
126,28.004840160981555
127,30.60850153373076
128,27.71084882776236
129,30.803649956963245
130,25.498230711471923
131,36.9982312513537
132,20.320897363787353
133,33.89222383620801
134,31.049122864974493
135,17.49891976794719
136,19.128021355254933
137,25.70994443439935
138,36.83461187699216
139,23.257366702434165
140,26.748625567468608
141,24.58583015001324
142,20.17268792914279
143,29.571239432345433
144,35.96587616653197
145,32.746938263494265
146,27.613225126569585
147,30.00015270676953
148,21.313672713378015
149,23.736405172768997
150,25.221823498771858
151,27.691592332260907
152,36.741452419869425
153,20.31030437001319
154,26.758472825673255
155,32.40777534443751
156,19.37163113403201
157,21.508614710721847
158,36.8751315637118
159,31.451493026275415
160,29.815500517879887
161,28.451410234843014
162,24.72464006525333
163,27.479294076695908
164,38.04748776832197
165,26.87488459043125
166,40.08351926101479
167,33.07025767134578
168,31.86342048136647
169,20.356713222640817
170,26.382667364653503
171,27.242544912507075
172,22.52935552617784
173,33.080123222776656
174,19.39211056861326
175,27.74971543015623
176,29.884075347545945
177,34.27763651002919
178,32.49618331739572
179,25.683919163357444
